205.210.31.198 - - [27/Sep/2023:05:05:16 +0900] "GET / HTTP/1.1" 404 750
221.213.176.8 - - [27/Sep/2023:06:30:14 +0900] "GET / HTTP/1.1" 404 709
221.213.176.8 - - [27/Sep/2023:06:30:14 +0900] "GET /manager/html HTTP/1.1" 404 725
94.102.61.26 - - [27/Sep/2023:07:45:58 +0900] "-" 400 2129
91.204.226.52 - - [27/Sep/2023:08:15:48 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [27/Sep/2023:09:04:13 +0900] "GET /controller/boardGood.do?idx=1&_=1695728330729 HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [27/Sep/2023:09:04:14 +0900] "GET /controller/boardBad.do?idx=1&_=1695728330730 HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [27/Sep/2023:09:04:14 +0900] "GET /controller/boardGood.do?idx=1&_=1695728330731 HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [27/Sep/2023:09:04:15 +0900] "GET /controller/boardBad.do?idx=1&_=1695728330732 HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [27/Sep/2023:09:04:15 +0900] "GET /controller/boardBad.do?idx=1&_=1695728330733 HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [27/Sep/2023:09:04:15 +0900] "GET /controller/boardBad.do?idx=1&_=1695728330734 HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [27/Sep/2023:09:04:15 +0900] "GET /controller/boardGood.do?idx=1&_=1695728330735 HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [27/Sep/2023:09:04:16 +0900] "GET /controller/boardBad.do?idx=1&_=1695728330736 HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [27/Sep/2023:09:04:16 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1428
0:0:0:0:0:0:0:1 - - [27/Sep/2023:09:04:19 +0900] "GET /controller/boardContent.do?idx=1 HTTP/1.1" 200 3490
0:0:0:0:0:0:0:1 - - [27/Sep/2023:09:05:03 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1428
0:0:0:0:0:0:0:1 - - [27/Sep/2023:09:07:14 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1428
0:0:0:0:0:0:0:1 - - [27/Sep/2023:09:07:15 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1428
0:0:0:0:0:0:0:1 - - [27/Sep/2023:09:07:16 +0900] "GET /controller/boardSelectList.do HTTP/1.1" 200 1428
